19:37:49.914 [main] INFO  com.ruider.Application - Starting Application on mahededeMacBook-Pro.local with PID 6656 (/Users/ruider/RuiDer/RuiDer/MyProject/RuiDerWX/target/classes started by ruider in /Users/ruider/RuiDer/RuiDer/MyProject/RuiDerWX)
19:41:30.090 [http-nio-8080-exec-1] INFO  com.ruider.controller.UserController - 【获取用户信息成功】getUserDetails success
19:41:30.090 [http-nio-8080-exec-5] INFO  com.ruider.controller.UserController - 【获取用户信息成功】getUserDetails success
19:41:30.127 [http-nio-8080-exec-8] INFO  c.r.c.MessageManageController - 【获取未被查看的消息数量成功】 getNoWatchedMessageNo success
19:41:33.980 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
19:41:33.981 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - getUserDetails start 
19:41:33.984 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - 【获取用户信息成功】getUserDetails success
19:41:38.290 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
19:41:38.292 [http-nio-8080-exec-3] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
19:41:38.299 [http-nio-8080-exec-3] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
19:44:50.217 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
19:44:50.219 [http-nio-8080-exec-7] INFO  c.r.c.MessageManageController - 【根据需求id和消息类型id获取未查看的信息，并且设置查看状态为查看状态】 getMessageList start
19:44:50.295 [http-nio-8080-exec-7] INFO  c.r.c.MessageManageController - 【根据需求id和消息类型id获取未查看的信息，并且设置查看状态为查看状态成功】 getMessageList success
19:44:52.413 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
19:44:52.415 [http-nio-8080-exec-10] INFO  c.r.c.MessageManageController - 【根据需求id和消息类型id获取未查看的信息，并且设置查看状态为查看状态】 getMessageList start
19:44:52.723 [http-nio-8080-exec-10] INFO  c.r.c.MessageManageController - 【根据需求id和消息类型id获取未查看的信息，并且设置查看状态为查看状态成功】 getMessageList success
19:47:26.186 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
19:47:26.221 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
19:47:26.250 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
