23:41:54.096 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
23:41:54.096 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'formContentFilter' to: [/*]
23:41:54.096 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
23:41:54.096 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'com.ruider.filter.XssFilter' to urls: [/*]
23:41:54.728 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
23:41:55.187 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:41:55.218 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
23:41:55.234 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:41:55.240 [main] INFO  com.ruider.Application - Started Application in 3.401 seconds (JVM running for 4.374)
23:42:09.979 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:42:09.980 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:42:09.992 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
23:42:10.007 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:42:10.057 [http-nio-8080-exec-1] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:42:11.832 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:42:11.875 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
23:42:11.890 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
23:42:11.893 [http-nio-8080-exec-2] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
23:42:12.193 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
23:42:12.235 [http-nio-8080-exec-2] INFO  com.ruider.controller.UserController - 【用户信息保存或者查询成功】addUserInfoIfNoSaved success
23:42:14.802 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:42:14.806 [http-nio-8080-exec-3] INFO  c.r.c.MessageManageController - 【获取未被查看的消息数量】 getNoWatchedMessageNo start
23:42:14.857 [http-nio-8080-exec-3] INFO  c.r.c.MessageManageController - 【获取未被查看的消息数量成功】 getNoWatchedMessageNo success
23:42:18.152 [http-nio-8080-exec-4] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:42:18.155 [http-nio-8080-exec-4] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:42:18.162 [http-nio-8080-exec-4] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:46:29.438 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:46:29.440 [http-nio-8080-exec-6] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:46:31.170 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:46:31.174 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
23:46:31.178 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - 【用户信息保存或者查询成功】addUserInfoIfNoSaved success
23:46:32.255 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:46:32.256 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:46:32.261 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:47:27.612 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:47:27.615 [http-nio-8080-exec-9] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:47:29.377 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:47:29.379 [http-nio-8080-exec-10] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
23:47:29.381 [http-nio-8080-exec-10] INFO  com.ruider.controller.UserController - 【用户信息保存或者查询成功】addUserInfoIfNoSaved success
23:47:30.259 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:47:30.260 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:47:30.266 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:50:37.980 [http-nio-8080-exec-3] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:50:37.987 [http-nio-8080-exec-3] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:50:40.349 [http-nio-8080-exec-4] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:50:40.350 [http-nio-8080-exec-4] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:50:40.353 [http-nio-8080-exec-4] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:52:05.159 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:52:05.160 [http-nio-8080-exec-6] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:52:38.860 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:52:38.861 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:52:40.767 [http-nio-8080-exec-8] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:52:40.768 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:52:40.774 [http-nio-8080-exec-8] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:53:03.836 [http-nio-8080-exec-9] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:53:03.837 [http-nio-8080-exec-9] INFO  com.ruider.controller.UserController - 【获取微信用户信息成功】IfAuthorizationEd success
23:53:05.662 [http-nio-8080-exec-10] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:53:05.662 [http-nio-8080-exec-10] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:53:05.670 [http-nio-8080-exec-10] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:53:11.499 [http-nio-8080-exec-1] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
23:53:11.506 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取类型列表开始】 getNeedsByCategoryId start
23:53:11.509 [http-nio-8080-exec-1] INFO  c.r.c.NeedsManagementController - 【获取类型列表成功】 getNeedsByCategoryId success
23:53:14.507 [http-nio-8080-exec-2] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
